country,country_isocode,year,pop,xrat,currency_unit,ppp,tcgdp,cgdp,cgdp2,cda2,cc,cg,ci,p,p2,pc,pg,pi,openc,cgnp,y,y2,rgdpl,rgdpl2,rgdpch,kc,kg,ki,openk,rgdpeqa,rgdpwok,rgdpl2wok,rgdpl2pe,rgdpl2te,rgdpl2th,rgdptt,serialid
Pakistan,PAK,1983,94154.723,13.116974999,Pakistan Rupee,5.5229225151,93930.759439,997.6213242,1021.4834388,1106.4894271,76.431434517,10.189522234,21.700860817,42.105153935,41.783673318,44.579663498,33.869253022,37.516916681,26.893517652,110.81130751,6.6616280349,6.8209675836,1578.3757454,1588.1268381,1576.3422993,83.357051918,11.371008696,23.187997629,35.587868565,2001.0352275,5493.3553606,5534.4230013,,5735.6978339,,1717.929044,7775
Pakistan,PAK,1984,96501.806,14.046333333,Pakistan Rupee,5.5754689121,104940.23338,1087.4432068,1113.8856088,1219.1293523,77.100288086,9.9565392927,22.391516565,39.693411653,39.420520847,42.261951834,32.618377126,34.284490619,26.661356211,109.43182763,6.5855777942,6.7457135094,1661.8457091,1673.8655466,1659.8710777,83.920065319,11.249155509,23.673020498,35.159267851,2107.6044074,5785.4844448,5834.2621984,,6025.0297744,,1803.8900298,7776
Pakistan,PAK,1985,99076.266,15.928391666,Pakistan Rupee,5.6095173687,112608.98328,1136.5888908,1159.9961871,1231.7023856,73.065929793,10.652606129,22.463053236,35.217098413,35.016276074,37.389864349,28.797528443,31.337232206,26.300270927,108.11403841,6.4723977478,6.6056924977,1695.8222317,1706.4067491,1693.6407678,79.410172467,11.814096099,23.57143197,35.480087855,2151.0306728,5896.7332853,5941.1804834,,6254.6951156,,1833.2861016,7777
Pakistan,PAK,1986,102065.71,16.647508333,Pakistan Rupee,5.6801046922,122938.96189,1204.5079771,1224.0868391,1275.4355934,70.9605104,11.083973871,22.150377776,34.11984892,33.931597302,35.786335246,28.622560946,31.60075182,26.876946468,102.79069126,6.5467918082,6.6532076526,1749.4862863,1756.2993712,1746.8565408,77.497658571,12.588054339,23.10724651,35.055586526,2221.7293329,6079.4895348,6112.3529024,,6644.104607,,1900.9385912,7778
Pakistan,PAK,1987,105208.431,17.3988,Pakistan Rupee,6.0576366536,135339.79391,1286.396847,1295.8385258,1353.9891924,72.901859384,10.838452691,20.747181187,34.816404887,34.629011456,35.522578246,34.39540793,32.569412316,27.325247996,106.35446912,6.6426000995,6.6913543367,1839.2370965,1841.5584756,1835.1943037,78.709675477,12.122296938,21.048706391,31.126529317,2337.3589883,6387.1157745,6409.2653106,,6791.0086859,,1970.7156566,7779
Pakistan,PAK,1988,108407.786,18.003291667,Pakistan Rupee,6.4203473125,145375.06738,1341.002088,1352.0666604,1420.5131417,71.098180044,12.574791427,21.389388498,35.662074644,35.515843956,36.659184628,32.89767308,34.007622057,28.288657857,104.30788787,6.4885607491,6.5420976904,1865.9926317,1863.0362303,1861.4343478,76.200418706,13.962297532,21.64590659,32.754599955,2374.1131052,6493.722288,6499.3105484,,7044.5634099,,1987.3827803,7780
Pakistan,PAK,1989,111528.381,20.541491667,Pakistan Rupee,6.6135920471,157307.10999,1410.4670809,1423.634543,1485.9007821,71.163459366,11.614723915,21.595568357,32.196259914,32.064283027,33.292478694,28.928796381,30.375143618,28.725673457,103.63821772,6.4109987936,6.4708488849,1901.8543543,1903.6732539,1898.2201821,75.806678045,12.893659703,21.705422699,30.606478874,2424.4400091,6625.9887618,6645.0234307,,7214.1894651,,2012.8523084,7781
Pakistan,PAK,1990,114606.69,21.707375,Pakistan Rupee,7.3315653195,168284.41247,1468.3646519,1481.8386461,1499.5459261,68.411234974,11.126296478,21.657421864,33.774536624,33.641223149,34.958030188,30.01420974,31.977639095,29.208459265,104.31103463,6.3794631419,6.4380023128,1933.9448729,1938.2579551,1931.2394101,71.596420271,12.277530563,21.397957897,31.073324331,2470.091301,6732.3127512,6756.7794433,,7235.7436027,,2012.1231042,7782
Pakistan,PAK,1991,122248,23.800766667,Pakistan Rupee,7.7797015199,189615.22131,1551.0701305,1560.8072661,1599.666137,70.980985066,9.6794504503,21.829229397,32.686768577,32.562614854,33.165697383,29.843143964,32.399526014,30.855022125,102.35147395,6.6117012462,6.6532074491,1940.2061125,1953.573127,1939.5554582,75.806482114,10.570220116,22.121262964,35.940883076,2481.6821751,6766.3452167,6815.2473431,,8076.4425983,,2054.4322683,7783
Pakistan,PAK,1992,124962,25.082791667,Pakistan Rupee,8.3143788915,196294.3649,1570.8324523,1589.7321873,1667.116825,71.67691487,10.999153252,22.191710129,33.147741296,33.022928694,34.083691128,27.029758722,33.216827526,31.539804532,101.04023883,6.4188097105,6.4960387,1915.4443605,1922.9971389,1914.1783366,76.431831309,12.334345704,22.743982751,39.062358689,2450.1546034,6682.4157964,6713.2023239,,7837.6245425,,2037.4521166,7784
